0	0.1	0.1	1.2	10	8	20	-0	-0	-0	0	-0	-0	-0.986960440108936	-1.93444246261351	-0.710611516878434
0.004	0.0999921044203816	0.0999845248594489	1.1999943151348	9.99921044203816	7.99909043449453	19.9994315134797	-0.00394773785822569	-0.00773737070274941	-0.0028424191359248	-0.355219425692122	-0.496740211843056	-0.198236206574313	-0.986882513861585	-1.93414310492354	-0.710591318225007
0.008	0.09996841892833	0.0999381042273949	1.19997726086236	9.996841892833	7.99636194480548	19.9977260862363	-0.00789485232287994	-0.0154723466675164	-0.0056846766841532	-0.710405568406825	-0.99336006749183	-0.396519384634653	-0.98664874742499	-1.93324512450568	-0.710530723412991
0.012	0.0999289472640589	0.0998607524711543	1.19994883815221	9.99289472640589	7.99181515136786	19.9948838152212	-0.0118407200988324	-0.0232025338974967	-0.00852661106617486	-1.0655251402412	-1.48973922998849	-0.594896454467711	-0.986259177713582	-1.93174879928738	-0.710429735887121
0.016	0.0998736956606018	0.099752493531313	1.19990904862014	9.98736956606017	7.9854510880833	19.9909048620137	-0.0157847180878192	-0.0309255398780128	-0.011368060721851	-1.42054484344553	-1.98575740086491	-0.793414234003691	-0.985713866244934	-1.92965459238552	-0.7102883613884
0.02	0.0998026728428272	0.0996133609143173	1.19985789452812	9.98026728428272	7.97727120208491	19.9857894528118	-0.0197262234868377	-0.0386389743170043	-0.0142088641185988	-1.77543136551044	-2.48129433942933	-0.99211938774349	-0.985012899130048	-1.92696315196301	-0.710106607953779
0.024	0.0997158900260614	0.0994433976821031	1.1997953787842	9.97158900260614	7.96727735340822	19.9795378784197	-0.023664613886494	-0.0463404498848296	-0.0170488597605746	-2.1301513742666	-2.97622988210326	-1.1910583758123	-0.984156387059758	-1.92367531102822	-0.709884485915696
0.028	0.0996133609143173	0.0992426564387686	1.19972150494231	9.96133609143173	7.95547181456824	19.9721504942309	-0.0275992673692888	-0.0540275829531515	-0.0198878861978543	-2.48467151300131	-3.47044396182498	-1.39027740318168	-0.983144465287248	-1.91979208717718	-0.709622007901488
0.032	0.09949510169813	0.0990111993142929	1.19963627720208	9.949510169813	7.9418572700427	19.9636277202083	-0.031529562607825	-0.0616979943326767	-0.0227257820356118	-2.83895839559611	-3.9638166275359	-1.58982236910193	-0.981977293606697	-1.91531468227858	-0.709319188832677
0.036	0.0993611310520008	0.0987490979453068	1.1995397004086	9.93611310520008	7.92643681566161	19.95397004086	-0.0354548789629232	-0.0693493100095214	-0.0255623859432941	-3.19297860168971	-4.45622806376616	-1.7897388167866	-0.980655056328044	-1.91024448210182	-0.708976045924119
0.04	0.0992114701314478	0.0984564334529205	1.19943178005212	9.92114701314478	7.90921395790331	19.9431780052123	-0.0393745965816272	-0.0769791618799756	-0.0283975366637929	-3.54669867187054	-4.94755861033497	-1.99007188339075	-0.979177962247882	-1.90458305588811	-0.708592598683026
0.044	0.0990461425696651	0.0981332964176174	1.19931252226778	9.90461425696651	7.89019261309715	19.9312522267776	-0.0432880964950861	-0.0845851884834379	-0.0312310730226111	-3.90008510290298	-5.43768878218144	-2.19086625032419	-0.977546244616491	-1.89833215586478	-0.708168868907856
0.048	0.0988651744737914	0.097779786851218	1.19918193383521	9.88651744737914	7.86937710653289	19.9181933835206	-0.0471947607162969	-0.0921650357332936	-0.0340628339370265	-4.25310434299188	-5.92649928934104	-2.39216609394117	-0.975760161100999	-1.89149371670295	-0.707704880687076
0.052	0.0986685944207868	0.0973960141659269	1.19904002217819	9.86685944207868	7.84677217147722	19.9040022178187	-0.0510939723376916	-0.0997163576455118	-0.0368926584252481	-4.60572278708938	-6.4138710570824	-2.59401503664712	-0.973819993744698	-1.88406985491876	-0.707200660397792
0.056	0.0984564334529205	0.0969820971404691	1.19888679536421	9.84564334529205	7.82238294809744	19.8886795364206	-0.054985115628554	-0.107236817064734	-0.0397203856155682	-4.9579067722486	-6.89968524621884	-2.79645609846337	-0.971726048922506	-1.87606286821832	-0.706656236704246
0.06	0.0982287250728689	0.0965381638833274	1.198722262104	9.82287250728689	7.79621498229262	19.8722262104002	-0.058867576132251	-0.114724086387629	-0.0425458547555079	-5.30962257302837	-7.38382327360864	-2.99953164909001	-0.969478657292583	-1.86747523478651	-0.706071640556192
0.064	0.0979855052384247	0.0960643517930928	1.19854643175107	9.79855052384247	7.76827422443252	19.8546431751067	-0.0627407407632622	-0.122175848283295	-0.045368905220955	-5.66083639695354	-7.86616683285711	-3.20328336050694	-0.967078173744121	-1.85830961252001	-0.705446905187132
0.068	0.0977268123568193	0.0955608075159392	1.19835931430112	9.77268123568193	7.73856702800453	19.8359314301122	-0.0666039979039931	-0.129589796410479	-0.0481893765252961	-6.01151438003516	-8.34659791523364	-3.40775216015281	-0.964524977341298	-1.84856883820469	-0.704782066112432
0.072	0.0974526872786577	0.0950276869002357	1.19816092039154	9.74526872786577	7.70710014816893	19.816092039154	-0.0704567375013569	-0.136963636131393	-0.0510071083285393	-6.36162258235507	-8.82499883081567	-3.61297818472102	-0.961819471263425	-1.83825592663758	-0.704077161127295
0.076	0.0971631732914674	0.0944651549483117	1.19795126130075	9.71631732914674	7.67388074022283	19.7951261300748	-0.0742983511631088	-0.144295085221917	-0.0538219404464299	-6.71112698371933	-9.30125222987135	-3.8190007346116	-0.958962082741275	-1.82737406969379	-0.703332230304619
